date,symbol,open,high,low,close,volume,vwap
2024-10-11 04:00:00+00:00,SPY,564.34,568.59,564.34,567.91,521282,567.33
2024-10-14 04:00:00+00:00,SPY,569.49,573.46,569.01,572.52,592179,572.04
2024-10-15 04:00:00+00:00,SPY,572.85,573.03,566.88,568.22,820884,569.38
2024-10-16 04:00:00+00:00,SPY,568.09,571.03,567.33,570.52,439136,569.21
2024-10-17 04:00:00+00:00,SPY,574.11,574.27,570.42,570.57,565059,571.76
2024-10-18 04:00:00+00:00,SPY,572.31,573.55,570.89,572.81,538888,572.34
2024-10-21 04:00:00+00:00,SPY,572.13,572.99,568.97,571.94,561603,571.12
2024-10-22 04:00:00+00:00,SPY,569.33,572.7,568.73,571.56,354662,570.86
2024-10-23 04:00:00+00:00,SPY,569.59,569.93,562.89,566.38,752782,566.62
2024-10-24 04:00:00+00:00,SPY,568.32,568.35,564.99,567.54,663254,567.24
2024-10-25 04:00:00+00:00,SPY,569.86,572.65,566.48,567.33,773465,569.23
2024-10-28 04:00:00+00:00,SPY,570.87,570.87,568.83,569.05,643201,569.64
2024-10-29 04:00:00+00:00,SPY,568.17,571.15,566.77,569.96,802413,569.54
2024-10-30 04:00:00+00:00,SPY,569.57,571.54,567.64,568.27,844091,569.17
2024-10-31 04:00:00+00:00,SPY,563.89,563.92,556.99,556.99,1253356,560.07
2024-11-01 04:00:00+00:00,SPY,559.74,563.89,559.12,559.51,825087,560.98
2024-11-04 05:00:00+00:00,SPY,559.65,560.94,556.45,558.28,701018,558.88
2024-11-05 05:00:00+00:00,SPY,559.17,565.07,559.02,565.06,766644,563.47
2024-11-06 05:00:00+00:00,SPY,577.33,579.99,573.65,579.09,1350029,577.44
2024-11-07 05:00:00+00:00,SPY,581.24,584.61,581.06,583.73,931015,583.02
2024-11-08 05:00:00+00:00,SPY,584.23,587.5,584.23,586.18,754842,585.85
2024-11-11 05:00:00+00:00,SPY,587.81,588.03,584.98,586.73,869569,586.65
2024-11-12 05:00:00+00:00,SPY,586.57,587.19,582.43,584.87,758918,585.32
2024-11-13 05:00:00+00:00,SPY,585.36,587.08,583.01,585.17,932260,585.58
2024-11-14 05:00:00+00:00,SPY,585.33,585.75,580.75,581.45,608776,582.73
2024-11-15 05:00:00+00:00,SPY,577.82,578.26,572.1,573.92,954365,574.24
2024-11-18 05:00:00+00:00,SPY,574.13,577.57,573.56,576.34,637963,575.95
2024-11-19 05:00:00+00:00,SPY,572.94,579.09,572.28,578.28,592020,576.63
2024-11-20 05:00:00+00:00,SPY,578.53,578.84,572.91,578.58,748523,576.12
2024-11-21 05:00:00+00:00,SPY,581.43,583.09,575.67,581.69,747147,580.39
2024-11-22 05:00:00+00:00,SPY,581.71,584.06,581.22,583.49,674357,583.06
2024-11-25 05:00:00+00:00,SPY,587.4,588.64,583.24,585.44,736572,585.8
2024-11-26 05:00:00+00:00,SPY,586.73,589.16,586.01,588.61,720718,587.86
2024-11-27 05:00:00+00:00,SPY,588.39,588.69,585.27,586.6,534416,586.85
2024-11-29 05:00:00+00:00,SPY,587.54,591.17,587.38,590.33,483126,589.97
2024-12-02 05:00:00+00:00,SPY,590.83,592.11,590.33,591.49,510225,591.31
2024-12-03 05:00:00+00:00,SPY,591.28,591.96,590.23,591.69,595330,591.31
2024-12-04 05:00:00+00:00,SPY,593.52,595.58,592.77,595.36,692429,594.56
2024-12-05 05:00:00+00:00,SPY,595.4,596.17,594.07,594.45,849183,594.97
2024-12-06 05:00:00+00:00,SPY,595.21,596.76,594.77,595.63,734753,595.56
2024-12-09 05:00:00+00:00,SPY,595.33,595.58,591.9,592.45,1070578,593.16
2024-12-10 05:00:00+00:00,SPY,593.15,593.46,590.01,590.74,866800,591.7
2024-12-11 05:00:00+00:00,SPY,593.55,596.12,593.36,595.31,731222,595.18
2024-12-12 05:00:00+00:00,SPY,594.35,594.9,592.2,592.2,758423,593.48
2024-12-13 05:00:00+00:00,SPY,594.12,594.84,590.67,592.07,696804,592.29
2024-12-16 05:00:00+00:00,SPY,593.77,595.51,593.04,594.6,855514,594.69
2024-12-17 05:00:00+00:00,SPY,591.99,592.95,590.73,592.05,1134815,591.81
2024-12-18 05:00:00+00:00,SPY,591.79,594.16,574.08,574.56,1561527,584.09
2024-12-19 05:00:00+00:00,SPY,579.42,581.04,574.14,574.3,1310529,577.12
2024-12-20 05:00:00+00:00,SPY,571.95,585.67,571.14,580.96,1741089,580.25
2024-12-23 05:00:00+00:00,SPY,580.96,581.78,577.84,579.12,94006,580.51
2024-12-24 05:00:00+00:00,SPY,586.05,591.17,585.46,590.99,349441,589.07
2024-12-26 05:00:00+00:00,SPY,589.35,592.29,588.03,591.02,479114,590.68
2024-12-27 05:00:00+00:00,SPY,587.39,587.62,580.86,584.95,1148065,583.94
2024-12-30 05:00:00+00:00,SPY,578.05,581.72,574.59,578.32,679803,578.27
2024-12-31 05:00:00+00:00,SPY,580.03,580.65,574.59,576.18,1216032,576.82
2025-01-02 05:00:00+00:00,SPY,579.44,581.11,570.71,574.75,744108,575.46
2025-01-03 05:00:00+00:00,SPY,577.62,582.58,576.64,581.95,596181,580.24
2025-01-06 05:00:00+00:00,SPY,585.9,589.57,583.7,585.37,787134,586.79
2025-01-07 05:00:00+00:00,SPY,587.35,587.63,576.89,578.79,924580,580.87
2025-01-08 05:00:00+00:00,SPY,578.74,580.57,575.32,579.39,735512,578.34
2025-01-10 05:00:00+00:00,SPY,575.98,575.98,568.81,570.69,1016306,571.47
2025-01-13 05:00:00+00:00,SPY,566.04,571.9,565.77,571.6,717379,569.02
2025-01-14 05:00:00+00:00,SPY,574.48,575.12,568.64,572.37,911647,571.97
2025-01-15 05:00:00+00:00,SPY,580.6,583.92,579.3,582.75,1059949,582.18
2025-01-16 05:00:00+00:00,SPY,584.03,584.31,580.96,581.71,726295,582.75
2025-01-17 05:00:00+00:00,SPY,586.87,589.23,585.67,587.55,822039,587.79
2025-01-21 05:00:00+00:00,SPY,590.65,592.79,588.62,592.74,668452,591.46
2025-01-22 05:00:00+00:00,SPY,595.7,597.56,595.15,596.1,806468,596.59
2025-01-23 05:00:00+00:00,SPY,595.57,599.34,595.33,599.34,678720,597.25
2025-01-24 05:00:00+00:00,SPY,599.5,600.46,596.58,597.66,736956,598.46
2025-01-27 05:00:00+00:00,SPY,584.78,589.52,584.64,589.37,1204513,587.79
2025-01-28 05:00:00+00:00,SPY,590.57,595.15,587.28,594.3,836062,592.77
2025-01-29 05:00:00+00:00,SPY,593.53,593.9,589.16,591.66,693842,592.02
2025-01-30 05:00:00+00:00,SPY,593.84,596.35,590.67,594.57,884764,593.77
2025-01-31 05:00:00+00:00,SPY,597.25,599.65,590.93,591.63,1086481,595.27
2025-02-03 05:00:00+00:00,SPY,582.51,590.15,580.52,587.61,1473509,586.23
2025-02-04 05:00:00+00:00,SPY,587.55,592.1,587.23,591.58,760544,590.66
2025-02-05 05:00:00+00:00,SPY,590.49,594.16,588.53,593.94,735756,591.89
2025-02-06 05:00:00+00:00,SPY,595.76,596.19,592.46,596.01,683777,594.97
2025-02-07 05:00:00+00:00,SPY,596.6,597.83,589.97,590.68,685825,593.05
2025-02-10 05:00:00+00:00,SPY,593.83,595.27,592.57,594.63,541655,594.24
2025-02-11 05:00:00+00:00,SPY,592.39,595.62,592.3,595.02,634394,594.27
2025-02-12 05:00:00+00:00,SPY,589.1,594.33,588.43,593.1,877172,592.16
2025-02-13 05:00:00+00:00,SPY,594.29,599.64,593.06,599.4,798986,597.2
2025-02-14 05:00:00+00:00,SPY,599.65,600.67,598.8,599.28,667639,599.85
2025-02-18 05:00:00+00:00,SPY,600.57,601.04,598.15,601.04,555308,599.74
2025-02-19 05:00:00+00:00,SPY,599.76,602.87,599.3,602.6,671686,601.32
2025-02-20 05:00:00+00:00,SPY,601.22,601.32,596.82,600.11,733951,598.83
2025-02-21 05:00:00+00:00,SPY,599.91,599.91,589.37,589.89,1223794,592.84
2025-02-24 05:00:00+00:00,SPY,591.85,592.82,586.43,587.14,1180194,589.0
2025-02-25 05:00:00+00:00,SPY,587.05,587.77,579.65,584.28,1368586,583.54
2025-02-26 05:00:00+00:00,SPY,585.96,589.41,581.91,584.46,1049865,585.62
2025-02-27 05:00:00+00:00,SPY,586.81,587.9,574.79,575.16,1335087,580.49
2025-02-28 05:00:00+00:00,SPY,575.48,584.67,572.63,583.87,1490853,577.82
2025-03-03 05:00:00+00:00,SPY,586.12,587.24,570.13,574.08,2034081,577.71
2025-03-04 05:00:00+00:00,SPY,569.93,575.48,562.59,567.14,2371305,568.0
2025-03-05 05:00:00+00:00,SPY,566.92,574.98,563.46,573.18,1211279,570.02
2025-03-06 05:00:00+00:00,SPY,565.77,570.31,560.51,563.06,1476769,564.25
2025-03-07 05:00:00+00:00,SPY,561.27,567.62,556.12,566.04,1350334,562.37
2025-03-10 04:00:00+00:00,SPY,558.01,559.92,546.27,551.34,1820742,552.88
2025-03-11 04:00:00+00:00,SPY,549.83,553.34,542.78,546.69,1587148,548.18
2025-03-12 04:00:00+00:00,SPY,552.7,553.56,544.39,549.49,1132263,549.55
2025-03-13 04:00:00+00:00,SPY,548.97,549.59,540.48,542.29,1018954,544.02
2025-03-14 04:00:00+00:00,SPY,546.74,554.3,546.24,553.28,1296759,551.29
2025-03-17 04:00:00+00:00,SPY,553.32,560.08,552.94,557.45,1140417,557.03
2025-03-18 04:00:00+00:00,SPY,555.26,555.26,549.66,551.45,984856,551.47
2025-03-19 04:00:00+00:00,SPY,553.33,561.24,552.16,557.43,1007580,556.5
2025-03-20 04:00:00+00:00,SPY,553.63,560.92,553.19,556.14,774123,557.03
2025-03-21 04:00:00+00:00,SPY,551.43,556.99,550.31,556.32,924605,553.7
2025-03-24 04:00:00+00:00,SPY,562.81,567.12,562.35,566.03,1028407,565.25
2025-03-25 04:00:00+00:00,SPY,567.39,568.33,565.74,567.39,674306,566.89
2025-03-26 04:00:00+00:00,SPY,567.2,568.19,559.31,560.83,831506,562.53
2025-03-27 04:00:00+00:00,SPY,559.29,562.94,557.14,559.14,1047705,560.37
2025-03-28 04:00:00+00:00,SPY,557.5,558.38,547.36,547.96,1260717,550.55
2025-03-31 04:00:00+00:00,SPY,542.18,552.88,539.34,551.47,1468993,547.0
