ticker,name,sector,cap_tier,avg_volume,exchange
F,Ford Motor Company,Consumer Cyclical,Large-Cap,59621472,NYQ
LHX,"L3Harris Technologies, Inc.",Industrials,Large-Cap,1420879,NYQ
OKE,"ONEOK, Inc.",Energy,Large-Cap,4068535,NYQ
BKR,Baker Hughes Company,Energy,Large-Cap,8282501,NMS
EW,Edwards Lifesciences Corporatio,Healthcare,Large-Cap,5176590,NYQ
ETR,Entergy Corporation,Utilities,Large-Cap,3597925,NYQ
FITB,Fifth Third Bancorp,Financial Services,Large-Cap,6858700,NYQ
VST,Vistra Corp.,Utilities,Large-Cap,4651248,NYQ
EA,Electronic Arts Inc.,Communication Services,Large-Cap,1899872,NMS
LNG,"Cheniere Energy, Inc.",Energy,Large-Cap,2388487,NYQ
WPM,Wheaton Precious Metals Corp,Basic Materials,Large-Cap,2166232,NYQ
TAK,Takeda Pharmaceutical Company L,Healthcare,Large-Cap,3040559,NYQ
NUE,Nucor Corporation,Basic Materials,Large-Cap,1638880,NYQ
XEL,Xcel Energy Inc.,Utilities,Large-Cap,5559274,NMS
EBAY,eBay Inc.,Consumer Cyclical,Large-Cap,5244177,NMS
CBRS,Cerebras Systems Inc.,Technology,Large-Cap,8829302,NMS
HUM,Humana Inc.,Healthcare,Large-Cap,1715251,NYQ
FANG,"Diamondback Energy, Inc.",Energy,Large-Cap,2696229,NMS
CRDO,Credo Technology Group Holding ,Technology,Large-Cap,8629088,NMS
FER,Ferrovial N.V.,Industrials,Large-Cap,1531601,NMS
MCHP,Microchip Technology Incorporat,Technology,Large-Cap,11736304,NMS
ABEV,Ambev S.A.,Consumer Defensive,Large-Cap,27390611,NYQ
OXY,Occidental Petroleum Corporatio,Energy,Large-Cap,11767712,NYQ
AXON,"Axon Enterprise, Inc.",Industrials,Large-Cap,1230619,NMS
EXC,Exelon Corporation,Utilities,Large-Cap,8575646,NMS
CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,Large-Cap,1876566,NMS
STT,State Street Corporation,Financial Services,Large-Cap,2198061,NYQ
NDAQ,"Nasdaq, Inc.",Financial Services,Large-Cap,3797146,NMS
CRWV,"CoreWeave, Inc.",Technology,Large-Cap,31640798,NMS
TTWO,"Take-Two Interactive Software, ",Communication Services,Large-Cap,2414817,NMS
DVN,Devon Energy Corporation,Energy,Large-Cap,14532474,NYQ
XYZ,"Block, Inc.",Technology,Large-Cap,5858745,NYQ
CVE,Cenovus Energy Inc,Energy,Large-Cap,8467570,NYQ
VIK,Viking Holdings Ltd,Consumer Cyclical,Large-Cap,3195656,NYQ
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Large-Cap,13282108,NMS
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Large-Cap,1987566,NMS
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Large-Cap,18656924,NYQ
RKT,"Rocket Companies, Inc.",Financial Services,Large-Cap,27977612,NYQ
MT,Arcelor Mittal NY Registry Shar,Basic Materials,Large-Cap,1924643,NYQ
